17:17:41.610,19-09-03,0000028561,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:17:57.610,19-09-03,0000030061,USBWrite,Datagram write error: 1!
17:17:57.610,19-09-03,0000030061,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:18:12.610,19-09-03,0000031561,USBWrite,Datagram write error: 1!
17:18:12.610,19-09-03,0000031561,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:18:28.610,19-09-03,0000033061,USBWrite,Datagram write error: 1!
17:18:28.610,19-09-03,0000033061,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:18:43.610,19-09-03,0000034561,USBWrite,Datagram write error: 1!
17:18:43.610,19-09-03,0000034561,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:18:49.250,19-09-03,0000035125,  jUSB01,TI_CN_TR_Reset: Transmit Pipe reset!
17:18:49.260,19-09-03,0000035126,sm_Conne,TI_CN_TR_Reset: Transmit Pipe reset!
17:18:54.280,19-09-03,0000035628,USBWrite,Datagram write error: 1!
17:18:54.280,19-09-03,0000035628,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:19:09.280,19-09-03,0000037128,USBWrite,Datagram write error: 1!
17:19:09.280,19-09-03,0000037128,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:19:10.600,19-09-03,0000037160,  CRADLE,TI_Cradle_Lost_Attachment_Handler(): Lost Cradle During Attach!
17:19:25.280,19-09-03,0000038628,USBWrite,Datagram write error: 1!
17:19:25.280,19-09-03,0000038628,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:19:40.280,19-09-03,0000040128,USBWrite,Datagram write error: 1!
17:19:40.280,19-09-03,0000040128,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:19:55.280,19-09-03,0000041628,USBWrite,Datagram write error: 1!
17:19:55.280,19-09-03,0000041628,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:20:11.280,19-09-03,0000043128,USBWrite,Datagram write error: 1!
17:20:11.280,19-09-03,0000043128,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:20:26.280,19-09-03,0000044628,USBWrite,Datagram write error: 1!
17:20:26.280,19-09-03,0000044628,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:20:38.190,19-09-03,0000045819,sm_power,TI_CN_TR_Reset: Transmit Pipe reset!
17:20:38.190,19-09-03,0000045819,sm_Conne,TI_CN_TR_Reset: Transmit Pipe reset!
17:20:42.390,19-09-03,0000046039,USBWrite,Datagram write error: 1!
17:20:42.390,19-09-03,0000046039,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:20:57.390,19-09-03,0000047539,USBWrite,Datagram write error: 1!
17:20:57.390,19-09-03,0000047539,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:21:12.390,19-09-03,0000049039,USBWrite,Datagram write error: 1!
17:21:12.390,19-09-03,0000049039,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:21:28.390,19-09-03,0000050539,USBWrite,Datagram write error: 1!
17:21:28.390,19-09-03,0000050539,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:21:43.390,19-09-03,0000052039,USBWrite,Datagram write error: 1!
17:21:43.390,19-09-03,0000052039,USBWrite,usbWriteTaskEntry: write failed(0!=77).
